latency,duration,type,marker_value,key,timestamp,marker_id
69.652827,0.000000,videos\1_excited\2_sports\NBA.mp4,videos\1_excited\2_sports\NBA.mp4,-1,1713199135.292971,1
139.860377,0.000000,rating,rating,-1,1713199205.500521,2
153.361228,0.000000,neutralVideo,neutralVideo,-1,1713199219.001372,3
218.709096,0.000000,videos\2_happy\scooby.mp4,videos\2_happy\scooby.mp4,-1,1713199284.349240,4
278.955080,0.000000,rating,rating,-1,1713199344.595224,5
287.643128,0.000000,neutralVideo,neutralVideo,-1,1713199353.283272,6
353.037874,0.000000,videos\3_motivated\motivationalAuthor.mp4,videos\3_motivated\motivationalAuthor.mp4,-1,1713199418.678018,7
421.112477,0.000000,rating,rating,-1,1713199486.752621,8
428.800461,0.000000,neutralVideo,neutralVideo,-1,1713199494.440605,9
494.203021,0.000000,videos\4_relaxed\2_nature\waterfall.mp4,videos\4_relaxed\2_nature\waterfall.mp4,-1,1713199559.843165,10
554.745899,0.000000,rating,rating,-1,1713199620.386043,11
563.980856,0.000000,neutralVideo,neutralVideo,-1,1713199629.621000,12
629.328724,0.000000,videos\5_sad\1_animals\saddogs.mp4,videos\5_sad\1_animals\saddogs.mp4,-1,1713199694.968868,13
692.348321,0.000000,rating,rating,-1,1713199757.988465,14
700.380077,0.000000,neutralVideo,neutralVideo,-1,1713199766.020221,15
765.563873,0.000000,videos\6_horror\conjuring.mp4,videos\6_horror\conjuring.mp4,-1,1713199831.204017,16
830.278888,0.000000,rating,rating,-1,1713199895.919032,17
838.732546,0.000000,neutralVideo,neutralVideo,-1,1713199904.372690,18
904.111667,0.000000,videos\7_disgusted\trainspotting.mp4,videos\7_disgusted\trainspotting.mp4,-1,1713199969.751811,19
964.342025,0.000000,rating,rating,-1,1713200029.982169,20
971.389344,0.000000,neutralVideo,neutralVideo,-1,1713200037.029488,21
1036.557514,0.000000,videos\8_angry\1_animals\angrydogs.mp4,videos\8_angry\1_animals\angrydogs.mp4,-1,1713200102.197658,22
1101.944447,0.000000,rating,rating,-1,1713200167.584591,23
1109.015205,0.000000,neutralVideo,neutralVideo,-1,1713200174.655349,24
